Name,Effect,Location,Price,Attribute,Description
Empyreal Armband,"Speed +1","Mode: Melee",,"Immune: Slow, Stop, Immobilize","An armband that contains the power of the stars."
Shoulder Cape,"Physical Evasion 10%, Magickal Evasion 10%","Outfitters: Zeklaus Desert, Rare Treasure: Windmill Hut",300,,"A small woolen cape."
Leather Cloak,"Physical Evasion 15%, Magickal Evasion 15%","Outfitters: 2nd battle at Merchant City of Dorter",800,,"A sturdy leather cloak."
Mage's Cloak,"Physical Evasion 18%, Magickal Evasion 18%","Outfitters: Cardinal Delacroix meeting at Lionel Castle, Rare Treasure: Lionel Castle",2000,,"A hooded cloak often worn by mages."
Elven Cloak,"Physical Evasion 25%, Magickal Evasion 25%","Outfitters: Royal City of Lesalia",8000,,"A short cloak made of thin material that has been imbued with a magickal power."
Vampire Cape,"Physical Evasion 28%, Magickal Evasion 28%","Outfitters: Walled City of Yardrow, Rare Treasure: Limberry Castle Keep",20000,,"This cloak is as light and soft as a feather."
Invisibility Cloak,"Physical Evasion 35%","Rare Treasure: Mount Germinas, Mode: Rendezvous",,"Equip: Invisible","This cloak makes the wearer invisible - until he or she is discovered."
Cherche,,"Poach: Behemoth King, Mode: Melee",,"Females only, Equip: Float, Reflect","A perfume with a refreshing fragrance."
Sortilége,,"Poach: Red Dragon, Mode: Rendezvous",,"Females only, Equip: Protect, Shell","A perfume with a rich redolence."
Chantage,,"Poach: Swine. Mode: Melee/Rendezvous, Steal: Meliadoul",,"Females only, Equip: Reraise, Regen","A perfume with a soothing scent."
Septième,"Magick Attack +1","Poach: Greater Hydra",,"Females only, Equip: Haste, Invisible","A perfume with an otherwordly aroma."
Tynar Rouge,"Physical Attack +3, Magick Attack + 3","War of the Lions versions only: If the player keeps Agrias, Alicia, Lavian and Mustadio in the party, and the party reaches a city or a town (but not a castle town) on the 1st of Cancer in the final chapter, Mustadio buys Agrias the Tynar Rouge lip rouge. It costs 50,000 gil, but the party must have at least 500,000 gil to activate this quest.",,"Females only, Boosts: Holy. Equip: Protect, Shell, Haste","Magickal lip rouge from the popular Feyforge brand. It is a limited-edition product, making it difficult for even the richest noblewomen to obtain."
